"name","id","tags","state_breakdown","waste_percentage","machine_type","coal_overhead","petroleum_overhead","natural_gas_overhead","nuclear_overhead","solar/pv_overhead","biomass_overhead","wind_overhead","hydroelectric_overhead","geothermal_overhead"
"nonmetallic mineral products",1055,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"clay building material and refractories",1056,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"flat glass",1057,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"other pressed and blown glass and glassware",1058,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"glass containers",1059,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"glass products from purchased glass",1060,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"cements",1061,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"lime",1062,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"gypsum",1063,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"mineral wool",1064,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"primary metals",1065,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"iron and steel mills and ferroalloys",1066,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"steel products from purchased steel",1067,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"alumina and aluminum",1068,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"nonferrous metals, except aluminum",1072,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"foundries",1074,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"secondary smelting and alloying of aluminum",1069,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"aluminum sheet, plate and foils",1070,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"other aluminum rolling, drawing and extruding",1071,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"nonferrous metal (except aluminum) smelting and refining",1073,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"iron foundries",1075,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"nonferrous metal die-casting foundries",1076,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"aluminum foundries, except die-casting",1077,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"iron and steel mills and ferroalloys (passthrough1)",1066,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"steel products from purchased steel (passthrough1)",1067,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"alumina and aluminum (passthrough1)",1068,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"nonferrous metals, except aluminum (passthrough1)",1072,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"foundries (passthrough1)",1074,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"fabricated metal products",1078,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"machinery",1079,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"computer and electronic products",1080,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"semiconductors and related devices",1081,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0,""computers"":0}","",0,0,0,0,0,0,0,0,0,"",""
"electrical equip., appliances, and components",1082,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"transportation equipment",1083,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"automobiles",1084,"{""mecs"":0,""naics"":0,""manufacturing"":0,""automobiles"":0}","",0,0,0,0,0,0,0,0,0,"",""
"light trucks and utility vehicles",1085,"{""mecs"":0,""naics"":0,""manufacturing"":0,""transportation"":0.358,""packaging"":0.182,""construction"":0.121}","",0,0,0,0,0,0,0,0,0,"",""
"aerospace product and parts",1086,"{""mecs"":0,""naics"":0,""manufacturing"":0,""transportation"":0}","",0,0,0,0,0,0,0,0,0,"",""
"aircraft",1087,"{""mecs"":0,""naics"":0,""manufacturing"":0,""transport-people"":0,""transport-stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"automobiles (passthrough1)",1084,"{""mecs"":0,""naics"":0,""manufacturing"":0,""automobiles"":0}","",0,0,0,0,0,0,0,0,0,"",""
"light trucks and utility vehicles (passthrough1)",1085,"{""mecs"":0,""naics"":0,""manufacturing"":0,""transportation"":0.358,""packaging"":0.182,""construction"":0.121}","",0,0,0,0,0,0,0,0,0,"",""
"aerospace product and parts (passthrough1)",1086,"{""mecs"":0,""naics"":0,""manufacturing"":0,""transportation"":0}","",0,0,0,0,0,0,0,0,0,"",""
"furniture and related products",1088,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"miscellaneous",1089,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"boiler fuel",1090,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"process energy",1091,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"nonprocess energy",1092,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"conventional boiler use",1093,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"chp and/or cogeneration process",1094,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"process heating",1095,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0.5008695652,0,0,0,0,0,0,0,0,"",""
"process cooling and refrigeration",1096,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0.35,0,0,0,0,0,0,0,0,"",""
"machine drive",1097,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0.4333333333,0,0,0,0,0,0,0,0,"",""
"electro-chemical processes",1098,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0.6,0,0,0,0,0,0,0,0,"",""
"other process use",1099,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0.1,0,0,0,0,0,0,0,0,"",""
"facility hvac",1100,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0.35,0,0,0,0,0,0,0,0,"",""
"facility lighting",1101,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0.88,0,0,0,0,0,0,0,0,"",""
"other facility support",1102,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0.1,0,0,0,0,0,0,0,0,"",""
"onsite transportation",1103,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0.6,0,0,0,0,0,0,0,0,"",""
"conventional electricity generation",1104,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"other nonprocess use",1105,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"end use not reported",1106,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"non-manufacturing",2000,"{}","","","","","","","","","","","",""
"ghost quads",,"{}",,0,,,,,,,,,,
"electricity net imports (passthrough1)",35,"{}","",0,"",0,0,0,0,0,0,0,0,0
"education (passthrough1)",41,"{}","",0,"",0,0,0,0,0,0,0,0,0
"education (passthrough2)",41,"{}","",0,"",0,0,0,0,0,0,0,0,0
"food sales (passthrough1)",42,"{""food"":0}","",0,"",0,0,0,0,0,0,0,0,0
"food sales (passthrough2)",42,"{""food"":0}","",0,"",0,0,0,0,0,0,0,0,0
"food service (passthrough1)",43,"{""food"":0}","",0,"",0,0,0,0,0,0,0,0,0
"food service (passthrough2)",43,"{""food"":0}","",0,"",0,0,0,0,0,0,0,0,0
"healthcare-inpatient (passthrough1)",44,"{""health"":0}","",0,"",0,0,0,0,0,0,0,0,0
"healthcare-inpatient (passthrough2)",44,"{""health"":0}","",0,"",0,0,0,0,0,0,0,0,0
"healthcare-outpatient (passthrough1)",45,"{""health"":0}","",0,"",0,0,0,0,0,0,0,0,0
"healthcare-outpatient (passthrough2)",45,"{""health"":0}","",0,"",0,0,0,0,0,0,0,0,0
"lodging (passthrough1)",46,"{""services"":0}","",0,"",0,0,0,0,0,0,0,0,0
"lodging (passthrough2)",46,"{""services"":0}","",0,"",0,0,0,0,0,0,0,0,0
"retail (other than mall) (passthrough1)",47,"{""stuff"":0}","",0,"",0,0,0,0,0,0,0,0,0
"retail (other than mall) (passthrough2)",47,"{""stuff"":0}","",0,"",0,0,0,0,0,0,0,0,0
"enclosed and strip malls (passthrough1)",48,"{""stuff"":0}","",0,"",0,0,0,0,0,0,0,0,0
"enclosed and strip malls (passthrough2)",48,"{""stuff"":0}","",0,"",0,0,0,0,0,0,0,0,0
"office (passthrough1)",49,"{""services"":0}","",0.08,"",0,0,0,0,0,0,0,0,0
"office (passthrough2)",49,"{""services"":0}","",0.08,"",0,0,0,0,0,0,0,0,0
"public assembly (passthrough1)",50,"{""services"":0}","",0,"",0,0,0,0,0,0,0,0,0
"public assembly (passthrough2)",50,"{""services"":0}","",0,"",0,0,0,0,0,0,0,0,0
"public order and safety (passthrough1)",51,"{""services"":0}","",0,"",0,0,0,0,0,0,0,0,0
"public order and safety (passthrough2)",51,"{""services"":0}","",0,"",0,0,0,0,0,0,0,0,0
"religious worship (passthrough1)",52,"{""services"":0}","",0,"building",0,0,0,0,0,0,0,0,0
"religious worship (passthrough2)",52,"{""services"":0}","",0,"building",0,0,0,0,0,0,0,0,0
"service (passthrough1)",53,"{""services"":0}","",0,"",0,0,0,0,0,0,0,0,0
"service (passthrough2)",53,"{""services"":0}","",0,"",0,0,0,0,0,0,0,0,0
"warehouse and storage (passthrough1)",54,"{""stuff"":0}","",0,"building",0,0,0,0,0,0,0,0,0
"warehouse and storage (passthrough2)",54,"{""stuff"":0}","",0,"building",0,0,0,0,0,0,0,0,0
"commercial-other (passthrough1)",55,"{""services"":0.5,""stuff"":0.5}","",0,"",0,0,0,0,0,0,0,0,0
"commercial-other (passthrough2)",55,"{""services"":0.5,""stuff"":0.5}","",0,"",0,0,0,0,0,0,0,0,0
"vacant (passthrough1)",56,"{""services"":0.5,""stuff"":0.5}","",0,"",0,0,0,0,0,0,0,0,0
"vacant (passthrough2)",56,"{""services"":0.5,""stuff"":0.5}","",0,"",0,0,0,0,0,0,0,0,0
"mobile homes (passthrough1)",78,"{""housing"":0}","",0,"",0,0,0,0,0,0,0,0,0
"beverages (passthrough1)",1017,"{""mecs"":0,""naics"":0,""manufacturing"":0,""food"":0}","",0,0,0,0,0,0,0,0,0,"",""
"tobacco (passthrough1)",1018,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"pulp mills (passthrough1)",1029,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff-make"":0}","",0,0,0,0,0,0,0,0,0,"",""
"paper mills, except newsprint (passthrough1)",1030,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff-make"":0}","",0,0,0,0,0,0,0,0,0,"",""
"newsprint mills (passthrough1)",1031,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff-make"":0}","",0,0,0,0,0,0,0,0,0,"",""
"paperboard mills (passthrough1)",1032,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff-make"":0}","",0,0,0,0,0,0,0,0,0,"",""
"petroleum refineries (passthrough1)",1035,"{""mecs"":0,""naics"":0,""manufacturing"":0,""fossil-production"":0}","",0,0,"1.; Oil:.98",0,0,0,0,0,0,"",""
"asphalt paving mixture and block (passthrough1)",1036,"{""mecs"":0,""naics"":0,""manufacturing"":0,""roads"":0}","",0,0,0,0,0,0,0,0,0,"",""
"asphalt shingle and coating materials (passthrough1)",1037,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"other petroleum and coal products (passthrough1)",1038,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"clay building material and refractories (passthrough1)",1056,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"flat glass (passthrough1)",1057,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"other pressed and blown glass and glassware (passthrough1)",1058,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"glass containers (passthrough1)",1059,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"glass products from purchased glass (passthrough1)",1060,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"cements (passthrough1)",1061,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"lime (passthrough1)",1062,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"gypsum (passthrough1)",1063,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"mineral wool (passthrough1)",1064,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"semiconductors and related devices (passthrough1)",1081,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0,""computers"":0}","",0,0,0,0,0,0,0,0,0,"",""
"","","{}","","","","","","","","","","","",""
