"name","id","tags","state_breakdown","waste_percentage","machine_type","coal_overhead","petroleum_overhead","natural_gas_overhead","nuclear_overhead","solar/pv_overhead","biomass_overhead","wind_overhead","hydroelectric_overhead","geothermal_overhead"
"hog and pig farming",245,"{""food"":0}","",0.42,"",0,0,0,0,0,0,0,0,0
"poultry and egg production",246,"{""food"":0}","",0.42,"",0,0,0,0,0,0,0,0,0
"cattle feedlots",247,"{""food"":0}","",0.42,"",0,0,0,0,0,0,0,0,0
"construction of buildings",248,"{}","",0,"electric motor, reciprocating engine, direct combustion, electric heat pump",0,0,0,0,0,0,0,0,0
"heavy and civil engineering construction",249,"{""roads"":0,""dams"":0}","",0,"electric motor, reciprocating engine, direct combustion, electric heat pump",0,0,0,0,0,0,0,0,0
"specialty trade contractors",250,"{}","",0,"",0,0,0,0,0,0,0,0,0
"new single-family housing construction (except for-sale builders)",251,"{""housing"":0}","",0.42,"",0,0,0,0,0,0,0,0,0
"new multifamily housing construction (except for-sale builders)",252,"{""housing"":0}","",0.42,"",0,0,0,0,0,0,0,0,0
"new housing for-sale builders",253,"{""housing"":0}","",0.42,"",0,0,0,0,0,0,0,0,0
"residential remodelers",254,"{""housing"":0}","",0.42,"",0,0,0,0,0,0,0,0,0
"industrial building construction",255,"{""stuff"":0}","",0.42,"",0,0,0,0,0,0,0,0,0
"commercial and institutional building construction",256,"{""stuff"":0.5,""services"":0.5}","",0.42,"",0,0,0,0,0,0,0,0,0
"water and sewer line and related structures construction",257,"{""infrastructure"":0}","",0.42,"",0,0,0,0,0,0,0,0,0
"oil and gas pipeline and related structures construction",258,"{""fossil production"":0}","",0.42,"",0,0.5,0.5,0,0,0,0,0,0
"power and communication line and related structures construction",259,"{""infrastructure"":0,""electricity"":0}","",0.42,"",0,0,0,0,0,0,0,0,0
"land subdivision",260,"{""housing"":0}","",0.42,"",0,0,0,0,0,0,0,0,0
"highway, street, and bridge construction",261,"{""roads"":0,""infrastructure"":0}","",0.42,"",0,0,0,0,0,0,0,0,0
"other heavy and civil engineering construction",262,"{""infrastructure"":0}","",0.42,"",0,0,0,0,0,0,0,0,0
"poured concrete foundation and structure contractors",263,"{""housing"":0.5,""stuff"":0.25,""services"":0.25}","",0.42,"",0,0,0,0,0,0,0,0,0
